"index","group","input","target"
"1991","append","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(_formats.length).append(""<APPEND_STR>"");for(int i=0; i<_formats.length; i++) {CTFormat ctf = _formats[i];buffer.append(""<APPEND_STR>"").append(ctf.getOffset());buffer.append(""<APPEND_STR>"").append(ctf.getFontIndex());buffer.append(""<APPEND_STR>"");}buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""[CHARTTITLEFORMAT]\n"");buffer.append(""    .format_runs       = "").append(_formats.length).append(""\n"");for(int i=0; i<_formats.length; i++) {CTFormat ctf = _formats[i];buffer.append(""       .char_offset= "").append(ctf.getOffset());buffer.append("",.fontidx= "").append(ctf.getFontIndex());buffer.append(""\n"");}buffer.append(""[/CHARTTITLEFORMAT]\n"");return buffer.toString();}"
"2196","append","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"" );buffer.append(""<APPEND_STR>"" ).append(""<APPEND_STR>"" ).append( getMargin() ).append(""<APPEND_STR>"" );buffer.append(""<APPEND_STR>"" );return buffer.toString();}","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append( ""[BottomMargin]\n"" );buffer.append( ""    .margin               = "" ).append( "" ("" ).append( getMargin() ).append( "" )\n"" );buffer.append( ""[/BottomMargin]\n"" );return buffer.toString();}"
"2369","append","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(_codepage)).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""[INTERFACEHDR]\n"");buffer.append(""    .codepage = "").append(HexDump.shortToHex(_codepage)).append(""\n"");buffer.append(""[/INTERFACEHDR]\n"");return buffer.toString();}"
"2605","append","@Override public String toString() {StringBuilder buf = new StringBuilder();buf.append(getClass().getName());buf.append(""<APPEND_STR>"");buf.append(capacity);buf.append(""<APPEND_STR>"");buf.append(position);buf.append(""<APPEND_STR>"");buf.append(limit);return buf.toString();}","@Override public String toString() {StringBuilder buf = new StringBuilder();buf.append(getClass().getName());buf.append("", status: capacity="");buf.append(capacity);buf.append("" position="");buf.append(position);buf.append("" limit="");buf.append(limit);return buf.toString();}"
"4414","append","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(length).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(HexDump.toHex(flags)).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""[FtPioGrbit ]\n"");buffer.append(""  size     = "").append(length).append(""\n"");buffer.append(""  flags    = "").append(HexDump.toHex(flags)).append(""\n"");buffer.append(""[/FtPioGrbit ]\n"");return buffer.toString();}"
"4428","append","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(Integer.toHexString(getFirstRow())).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(Integer.toHexString(getLastRow())).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(Integer.toHexString(getFirstCol())).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(Integer.toHexString(getLastCol())).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(Integer.toHexString(field_5_zero)).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""[DIMENSIONS]\n"");buffer.append(""    .firstrow       = "").append(Integer.toHexString(getFirstRow())).append(""\n"");buffer.append(""    .lastrow        = "").append(Integer.toHexString(getLastRow())).append(""\n"");buffer.append(""    .firstcol       = "").append(Integer.toHexString(getFirstCol())).append(""\n"");buffer.append(""    .lastcol        = "").append(Integer.toHexString(getLastCol())).append(""\n"");buffer.append(""    .zero           = "").append(Integer.toHexString(field_5_zero)).append(""\n"");buffer.append(""[/DIMENSIONS]\n"");return buffer.toString();}"
"4757","append","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(Integer.toHexString(getMode())).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""[REFMODE]\n"");buffer.append(""    .mode           = "").append(Integer.toHexString(getMode())).append(""\n"");buffer.append(""[/REFMODE]\n"");return buffer.toString();}"
"5307","append","public String toString() {if (getChildren() == null || getChildren().size() == 0)return ""<multiPhrase/>"";StringBuilder sb = new StringBuilder();sb.append(""<APPEND_STR>"");for (QueryNode child : getChildren()) {sb.append(""<APPEND_STR>"");sb.append(child.toString());}sb.append(""<APPEND_STR>"");return sb.toString();}","public String toString() {if (getChildren() == null || getChildren().size() == 0)return ""<multiPhrase/>"";StringBuilder sb = new StringBuilder();sb.append(""<multiPhrase>"");for (QueryNode child : getChildren()) {sb.append(""\n"");sb.append(child.toString());}sb.append(""\n</multiPhrase>"");return sb.toString();}"
"6109","append","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(getVersion())).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(getType()));buffer.append(""<APPEND_STR>"").append(getTypeName()).append(""<APPEND_STR>"").append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(getBuild())).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(getBuildYear()).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(HexDump.intToHex(getHistoryBitMask())).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(HexDump.intToHex(getRequiredVersion())).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""[BOF RECORD]\n"");buffer.append(""    .version  = "").append(HexDump.shortToHex(getVersion())).append(""\n"");buffer.append(""    .type     = "").append(HexDump.shortToHex(getType()));buffer.append("" ("").append(getTypeName()).append("")"").append(""\n"");buffer.append(""    .build    = "").append(HexDump.shortToHex(getBuild())).append(""\n"");buffer.append(""    .buildyear= "").append(getBuildYear()).append(""\n"");buffer.append(""    .history  = "").append(HexDump.intToHex(getHistoryBitMask())).append(""\n"");buffer.append(""    .reqver   = "").append(HexDump.intToHex(getRequiredVersion())).append(""\n"");buffer.append(""[/BOF RECORD]\n"");return buffer.toString();}"
"6295","append","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(HexDump.shortToHex(_options)).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""[PROTECT]\n"");buffer.append(""    .options = "").append(HexDump.shortToHex(_options)).append(""\n"");buffer.append(""[/PROTECT]\n"");return buffer.toString();}"
"6303","append","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(_colors.size()).append('\n');for (int i = 0; i < _colors.size(); i++) {PColor c = _colors.get(i);buffer.append(""<APPEND_STR>"").append(i).append('\n');buffer.append(c);buffer.append("""");}}","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""[PALETTE]\n"");buffer.append(""  numcolors     = "").append(_colors.size()).append('\n');for (int i = 0; i < _colors.size(); i++) {PColor c = _colors.get(i);buffer.append(""* colornum      = "").append(i).append('\n');buffer.append(c);buffer.append("""");}}"
"6409","append","public String segString(Directory dir) {StringBuilder b = new StringBuilder();b.append(""<APPEND_STR>"");final int count = merges.size();for(int i=0;i<count;i++) {b.append(""<APPEND_STR>"").append(1 + i).append(""<APPEND_STR>"").append(merges.get(i).segString());}return b.toString();}","public String segString(Directory dir) {StringBuilder b = new StringBuilder();b.append(""MergeSpec:\n"");final int count = merges.size();for(int i=0;i<count;i++) {b.append(""  "").append(1 + i).append("": "").append(merges.get(i).segString());}return b.toString();}"
"6548","append","public String toString() {StringBuilder sb = new StringBuilder();sb.append(""<APPEND_STR>"");if(isExternalReferences()) {sb.append(""<APPEND_STR>"");sb.append(""<APPEND_STR>"").append(getURL()).append(""<APPEND_STR>"");sb.append(""<APPEND_STR>"").append(field_1_number_of_sheets).append(""<APPEND_STR>"");for (String sheetname : field_3_sheet_names) {sb.append(""<APPEND_STR>"").append(sheetname).append(""<APPEND_STR>"");}sb.append(""<APPEND_STR>"");} else if(_isAddInFunctions) {sb.append(""<APPEND_STR>"");} else {sb.append(""<APPEND_STR>"");sb.append(""<APPEND_STR>"").append(field_1_number_of_sheets);}sb.append(""<APPEND_STR>"");return sb.toString();}","public String toString() {StringBuilder sb = new StringBuilder();sb.append(""[SUPBOOK "");if(isExternalReferences()) {sb.append(""External References]\n"");sb.append("" .url     = "").append(getURL()).append(""\n"");sb.append("" .nSheets = "").append(field_1_number_of_sheets).append(""\n"");for (String sheetname : field_3_sheet_names) {sb.append(""    .name = "").append(sheetname).append(""\n"");}sb.append(""[/SUPBOOK"");} else if(_isAddInFunctions) {sb.append(""Add-In Functions"");} else {sb.append(""Internal References"");sb.append("" nSheets="").append(field_1_number_of_sheets);}sb.append(""]"");return sb.toString();}"
"6731","append","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(Integer.toHexString(getCalcMode())).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""[CALCMODE]\n"");buffer.append(""    .calcmode       = "").append(Integer.toHexString(getCalcMode())).append(""\n"");buffer.append(""[/CALCMODE]\n"");return buffer.toString();}"
"6980","append","public String toString() {StringBuilder r = new StringBuilder();r.append(""<APPEND_STR>"");Ref cur = this;while (cur.isSymbolic()) {r.append(cur.getName());r.append(""<APPEND_STR>"");cur = cur.getTarget();}r.append(cur.getName());r.append('=');r.append(ObjectId.toString(cur.getObjectId()));r.append(""<APPEND_STR>"");r.append(updateIndex); r.append(""<APPEND_STR>"");return r.toString();}","public String toString() {StringBuilder r = new StringBuilder();r.append(""SymbolicRef["");Ref cur = this;while (cur.isSymbolic()) {r.append(cur.getName());r.append("" -> "");cur = cur.getTarget();}r.append(cur.getName());r.append('=');r.append(ObjectId.toString(cur.getObjectId()));r.append(""("");r.append(updateIndex); r.append("")]"");return r.toString();}"
"7170","append","public String toString() {if (getChildren() == null || getChildren().size() == 0)return ""<any field='"" + this.field + ""'  matchelements=""+ this.minimumMatchingmElements + ""/>"";StringBuilder sb = new StringBuilder();sb.append(""<APPEND_STR>"").append(this.field).append(""<APPEND_STR>"").append(this.minimumMatchingmElements).append('>');for (QueryNode clause : getChildren()) {sb.append(""<APPEND_STR>"");sb.append(clause.toString());}sb.append(""<APPEND_STR>"");return sb.toString();}","public String toString() {if (getChildren() == null || getChildren().size() == 0)return ""<any field='"" + this.field + ""'  matchelements=""+ this.minimumMatchingmElements + ""/>"";StringBuilder sb = new StringBuilder();sb.append(""<any field='"").append(this.field).append(""'  matchelements="").append(this.minimumMatchingmElements).append('>');for (QueryNode clause : getChildren()) {sb.append(""\n"");sb.append(clause.toString());}sb.append(""\n</any>"");return sb.toString();}"
"7356","append","public String toString() {final StringBuilder b = new StringBuilder();final int sectionCount = getSectionCount();b.append(getClass().getName());b.append('[');b.append(""<APPEND_STR>"");b.append(getByteOrder());b.append(""<APPEND_STR>"");b.append(getClassID());b.append(""<APPEND_STR>"");b.append(getFormat());b.append(""<APPEND_STR>"");b.append(getOSVersion());b.append(""<APPEND_STR>"");b.append(sectionCount);b.append(""<APPEND_STR>"");for (Section section: getSections()) {b.append(section.toString(getPropertySetIDMap()));}b.append(']');b.append(']');return b.toString();}","public String toString() {final StringBuilder b = new StringBuilder();final int sectionCount = getSectionCount();b.append(getClass().getName());b.append('[');b.append(""byteOrder: "");b.append(getByteOrder());b.append("", classID: "");b.append(getClassID());b.append("", format: "");b.append(getFormat());b.append("", OSVersion: "");b.append(getOSVersion());b.append("", sectionCount: "");b.append(sectionCount);b.append("", sections: [\n"");for (Section section: getSections()) {b.append(section.toString(getPropertySetIDMap()));}b.append(']');b.append(']');return b.toString();}"
"7796","append","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(getString()).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""[OLD STRING]\n"");buffer.append(""    .string            = "").append(getString()).append(""\n"");buffer.append(""[/OLD STRING]\n"");return buffer.toString();}"
"9083","append","public String toString() {StringBuilder b = new StringBuilder();b.append(""<APPEND_STR>"");for (int i = 0; i < size; i++) {b.append(""<APPEND_STR>"").append(i);if (accept.get(i)) b.append(""<APPEND_STR>"");else b.append(""<APPEND_STR>"");for (int j = 0; j < points.length; j++) {int k = transitions[i * points.length + j];if (k != -1) {int min = points[j];int max;if (j + 1 < points.length) max = (points[j + 1] - 1);else max = alphabetSize;b.append(""<APPEND_STR>"");Automaton.appendCharString(min, b);if (min != max) {b.append(""<APPEND_STR>"");Automaton.appendCharString(max, b);}b.append(""<APPEND_STR>"").append(k).append(""<APPEND_STR>"");}}}return b.toString();}","public String toString() {StringBuilder b = new StringBuilder();b.append(""initial state: 0\n"");for (int i = 0; i < size; i++) {b.append(""state "").append(i);if (accept.get(i)) b.append("" [accept]:\n"");else b.append("" [reject]:\n"");for (int j = 0; j < points.length; j++) {int k = transitions[i * points.length + j];if (k != -1) {int min = points[j];int max;if (j + 1 < points.length) max = (points[j + 1] - 1);else max = alphabetSize;b.append("" "");Automaton.appendCharString(min, b);if (min != max) {b.append(""-"");Automaton.appendCharString(max, b);}b.append("" -> "").append(k).append(""\n"");}}}return b.toString();}"
"9114","append","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(Integer.toHexString(getWindowing())).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""[1904]\n"");buffer.append(""    .is1904          = "").append(Integer.toHexString(getWindowing())).append(""\n"");buffer.append(""[/1904]\n"");return buffer.toString();}"
"9204","append","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"" + "": \"""").append(getField()).append(""<APPEND_STR>"">"");if (getReverse()) buffer.append('!');if (missingValue != null) {buffer.append(""<APPEND_STR>"");buffer.append(missingValue);}buffer.append(""<APPEND_STR>"");buffer.append(selector);return buffer.toString();}","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""<sortedset"" + "": \"""").append(getField()).append(""\"">"");if (getReverse()) buffer.append('!');if (missingValue != null) {buffer.append("" missingValue="");buffer.append(missingValue);}buffer.append("" selector="");buffer.append(selector);return buffer.toString();}"
"9306","append","public String toString() {StringBuilder retval = new StringBuilder();retval.append(""<APPEND_STR>"").append(""<APPEND_STR>"");retval.append(""<APPEND_STR>"").append(getNumAreas()).append(""<APPEND_STR>"");for (int k = 0; k < _numberOfRegions; k++) {CellRangeAddress r = _regions[_startIndex + k];retval.append(""<APPEND_STR>"").append(r.getFirstRow()).append(""<APPEND_STR>"");retval.append(""<APPEND_STR>"").append(r.getLastRow()).append(""<APPEND_STR>"");retval.append(""<APPEND_STR>"").append(r.getFirstColumn()).append(""<APPEND_STR>"");retval.append(""<APPEND_STR>"").append(r.getLastColumn()).append(""<APPEND_STR>"");}retval.append(""<APPEND_STR>"").append(""<APPEND_STR>"");return retval.toString();}","public String toString() {StringBuilder retval = new StringBuilder();retval.append(""[MERGEDCELLS]"").append(""\n"");retval.append(""     .numregions ="").append(getNumAreas()).append(""\n"");for (int k = 0; k < _numberOfRegions; k++) {CellRangeAddress r = _regions[_startIndex + k];retval.append(""     .rowfrom ="").append(r.getFirstRow()).append(""\n"");retval.append(""     .rowto   ="").append(r.getLastRow()).append(""\n"");retval.append(""     .colfrom ="").append(r.getFirstColumn()).append(""\n"");retval.append(""     .colto   ="").append(r.getLastColumn()).append(""\n"");}retval.append(""[MERGEDCELLS]"").append(""\n"");return retval.toString();}"
"9384","append","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"" );buffer.append(""<APPEND_STR>"" ).append(""<APPEND_STR>"" ).append( getMargin() ).append(""<APPEND_STR>"" );buffer.append(""<APPEND_STR>"" );return buffer.toString();}","public String toString(){StringBuilder buffer = new StringBuilder();buffer.append( ""[LeftMargin]\n"" );buffer.append( ""    .margin               = "" ).append( "" ("" ).append( getMargin() ).append( "" )\n"" );buffer.append( ""[/LeftMargin]\n"" );return buffer.toString();}"
"9864","append","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"").append(getText()).append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""[FOOTER]\n"");buffer.append(""    .footer = "").append(getText()).append(""\n"");buffer.append(""[/FOOTER]\n"");return buffer.toString();}"
"9984","append","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append("" [FEATURE SMART TAGS]\n"");buffer.append("" [/FEATURE SMART TAGS]\n"");return buffer.toString();}"
"10223","append","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""<APPEND_STR>"");buffer.append(""<APPEND_STR>"" + recordType);buffer.append(""<APPEND_STR>"" + grbitFrt);buffer.append(""<APPEND_STR>"");return buffer.toString();}","public String toString() {StringBuilder buffer = new StringBuilder();buffer.append("" [FUTURE HEADER]\n"");buffer.append(""   Type "" + recordType);buffer.append(""   Flags "" + grbitFrt);buffer.append("" [/FUTURE HEADER]\n"");return buffer.toString();}"
